Month,Passengers
1949-01-01,154
1949-02-01,210
1949-03-01,251
1949-04-01,345
1949-05-01,505
1949-06-01,168
1949-07-01,411
1949-08-01,388
1949-09-01,349
1949-10-01,135
1949-11-01,338
1949-12-01,247
1950-01-01,566
1950-02-01,326
1950-03-01,343
1950-04-01,590
1950-05-01,436
1950-06-01,545
1950-07-01,464
1950-08-01,590
1950-09-01,581
1950-10-01,300
1950-11-01,253
1950-12-01,549
1951-01-01,172
1951-02-01,300
1951-03-01,395
1951-04-01,116
1951-05-01,228
1951-06-01,316
1951-07-01,160
1951-08-01,526
1951-09-01,203
1951-10-01,141
1951-11-01,124
1951-12-01,138
1952-01-01,390
1952-02-01,230
1952-03-01,597
1952-04-01,328
1952-05-01,207
1952-06-01,271
1952-07-01,534
1952-08-01,577
1952-09-01,201
1952-10-01,453
1952-11-01,111
1952-12-01,374
1953-01-01,200
1953-02-01,143
1953-03-01,542
1953-04-01,404
1953-05-01,544
1953-06-01,116
1953-07-01,429
1953-08-01,156
1953-09-01,410
1953-10-01,596
1953-11-01,402
1953-12-01,111
1954-01-01,417
1954-02-01,179
1954-03-01,315
1954-04-01,438
1954-05-01,363
1954-06-01,578
1954-07-01,248
1954-08-01,180
1954-09-01,314
1954-10-01,584
1954-11-01,473
1954-12-01,563
1955-01-01,297
1955-02-01,299
1955-03-01,124
1955-04-01,565
1955-05-01,188
1955-06-01,367
1955-07-01,242
1955-08-01,158
1955-09-01,509
1955-10-01,588
1955-11-01,464
1955-12-01,125
1956-01-01,146
1956-02-01,387
1956-03-01,365
1956-04-01,115
1956-05-01,298
1956-06-01,500
1956-07-01,506
1956-08-01,381
1956-09-01,568
1956-10-01,185
1956-11-01,349
1956-12-01,490
1957-01-01,369
1957-02-01,434
1957-03-01,216
1957-04-01,106
1957-05-01,236
1957-06-01,470
1957-07-01,275
1957-08-01,427
1957-09-01,597
1957-10-01,414
1957-11-01,314
1957-12-01,576
1958-01-01,181
1958-02-01,322
1958-03-01,577
1958-04-01,471
1958-05-01,522
1958-06-01,582
1958-07-01,501
1958-08-01,542
1958-09-01,589
1958-10-01,202
1958-11-01,372
1958-12-01,113
1959-01-01,258
1959-02-01,251
1959-03-01,582
1959-04-01,207
1959-05-01,287
1959-06-01,400
1959-07-01,197
1959-08-01,230
1959-09-01,392
1959-10-01,270
1959-11-01,523
1959-12-01,573
1960-01-01,282
1960-02-01,570
1960-03-01,463
1960-04-01,138
1960-05-01,114
1960-06-01,475
1960-07-01,596
1960-08-01,103
1960-09-01,448
1960-10-01,569
1960-11-01,508
1960-12-01,496
